	MX.01	YB03	YB08	YB13	YBO4
1b8d2166fb565248ab417dbec813e5c7	0.0	0.0	0.0	62.0	0.0
1b9290cd00a6e0c8583431454ea9b0c6	0.0	0.0	3.0	41.0	0.0
1b9bf42967c78a2efb74128aef9fec53	0.0	0.0	0.0	62.0	0.0
1b9c5cbbb8351d07e0f0030773a0d941	0.0	0.0	0.0	5.0	0.0
1bcf2584c18fc9a0dd3cdb04b31e6599	0.0	0.0	0.0	0.0	3.0
1bd5128b77ccf6d9c2d6efdab9107a9e	12.0	0.0	0.0	0.0	0.0
1be7135c4ed16d33661c2e955415a2c1	0.0	0.0	67.0	0.0	0.0
1c2849126d167337659fb04d53f9df1f	0.0	0.0	0.0	0.0	12.0
1c2b8892a0d7f828d72808cd01cfd199	0.0	0.0	13.0	0.0	0.0
1c3bae25df9dffaf2d84ed4c96d7c732	0.0	0.0	12.0	0.0	0.0
1c6c59b81009c1faedc959381774b6b0	0.0	0.0	0.0	0.0	4.0
1c73e1dd8862b6fdbc044d6e0d9ecc26	0.0	0.0	0.0	7.0	0.0
1c8686d973de7cad0d439d5f2f4ce31c	7.0	0.0	0.0	0.0	0.0
1cfc660b0ad6c3534530ca2da7394191	0.0	0.0	0.0	35.0	0.0
1d1ba651814e1415fdf4eab3c393b955	0.0	0.0	0.0	91.0	0.0
1d564ea8e5e85107322a9288b82462d1	0.0	0.0	0.0	0.0	28.0
1d6b12d4749293f779b42ff297dfb654	0.0	0.0	0.0	6.0	0.0
1d74574205d11d4ac847aea95af750a3	0.0	0.0	1744.0	0.0	0.0
1da933fa7f26095dbee3ad27f79dff33	0.0	2.0	0.0	0.0	0.0
1dbf908c1409faf4f7d554ab93056699	0.0	0.0	61.0	0.0	0.0
1dd7313832fbe26a70ad430272eff3e7	0.0	0.0	0.0	11.0	0.0
1e0c74b9daf338e99cafeb58656c301e	0.0	8.0	0.0	0.0	24.0
1e1178f3163cc9169597e95ff04f6ec6	0.0	0.0	18.0	0.0	0.0
1e1290398ce6d2cfdf6f4da4990d348c	0.0	0.0	34.0	0.0	7.0
1e31234f3abac84a6cee692d11823046	0.0	0.0	0.0	0.0	12.0
1ea18527146106741c20ba361ba31127	0.0	0.0	0.0	0.0	3.0
1eb19bde875233fa6002d9d890422106	0.0	0.0	0.0	0.0	135.0
1eb80837aa269d16b10081139f885ae9	0.0	0.0	0.0	34.0	0.0
1f177e9bcc9f153f6b186a274be07994	0.0	0.0	288.0	0.0	0.0
1f606f2e819b7f820b8cfc644a66e628	4.0	0.0	0.0	0.0	0.0
1f6b1ee64a692daec4a7a737d987dbc8	0.0	0.0	0.0	0.0	10.0
1f7751814bf09c6824e1e0f677c73bbe	0.0	0.0	0.0	0.0	4.0
1f93038dbf8d35d8acde8e1bca756659	0.0	0.0	0.0	6.0	0.0
1f938352fa0e381e00c6bfd0cdaf7530	0.0	0.0	0.0	0.0	5.0
1fb962f972d38b9afe68532499b68438	0.0	13.0	0.0	0.0	0.0
1fbbb6bfd748297d45713676fe058e0b	0.0	0.0	0.0	7.0	0.0
2028b9c207a5464236d8e9cdd58766ad	0.0	91.0	0.0	0.0	0.0
2036de06e2f222d4e3c1e60f79c2f5f7	0.0	0.0	0.0	10.0	0.0
206223536167506443d78c11abb813b9	0.0	0.0	0.0	3.0	0.0
206fff25df2cb3ae041c0895946abe9a	0.0	5.0	0.0	0.0	0.0
2075bb473427d93b5ce154f445e9358c	0.0	0.0	0.0	0.0	7.0
207e99928b32bb7981a32c96ce53d28b	0.0	0.0	0.0	0.0	4.0
208cf308189f5ce777e13d1c0160049b	3.0	0.0	0.0	0.0	0.0
209227eb4271ddab907379bc0397ea24	0.0	0.0	0.0	0.0	10.0
209bd7476ed1245061d219439db569fc	0.0	2291.0	0.0	0.0	0.0
20a5dbb63897db3c09313b1f6ed41c45	0.0	0.0	0.0	0.0	3.0
20b0cc76baedbfd1731ceec57f560196	0.0	0.0	0.0	0.0	21.0
20b2a1cd685acf58314fb59252a14448	64.0	0.0	0.0	0.0	0.0
20c85b174b0855969061fcbb04ed9c24	37.0	0.0	0.0	0.0	0.0
20cd11faea5e0e867bada9d3db93fd53	0.0	8.0	0.0	0.0	0.0
20ecd87abbe0f00804af8cb5f743e231	0.0	0.0	5.0	0.0	0.0
210cbef96631af7b0ea2e421d8652251	0.0	0.0	0.0	0.0	197.0
211ef459b9731dc0a8d0aa1cb2f1a710	0.0	0.0	0.0	3.0	0.0
21437cb24c6d11d0d358f9867bc21269	0.0	0.0	0.0	3.0	0.0
2164e3c19e67a863433f859a3f9cac71	0.0	13.0	0.0	0.0	0.0
